censor|e|http://rdaregistry.info/Elements/e/P20356|http://rdaregistry.info/Elements/e/P20474|http://rdaregistry.info/Elements/e/P20533
choral conductor|e|http://rdaregistry.info/Elements/e/P20336|http://rdaregistry.info/Elements/e/P20454|http://rdaregistry.info/Elements/e/P20513
colourist|e|http://rdaregistry.info/Elements/e/P20340|http://rdaregistry.info/Elements/e/P20458|http://rdaregistry.info/Elements/e/P20517
commentator|e|http://rdaregistry.info/Elements/e/P20377|http://rdaregistry.info/Elements/e/P20495|http://rdaregistry.info/Elements/e/P20554
conductor|e|http://rdaregistry.info/Elements/e/P20383|http://rdaregistry.info/Elements/e/P20501|http://rdaregistry.info/Elements/e/P20560
contributor to amalgamation|e|http://rdaregistry.info/Elements/e/P20367|http://rdaregistry.info/Elements/e/P20485|http://rdaregistry.info/Elements/e/P20544
contributor to performance|e|http://rdaregistry.info/Elements/e/P20366|http://rdaregistry.info/Elements/e/P20484|http://rdaregistry.info/Elements/e/P20543
costume designer|e|http://rdaregistry.info/Elements/e/P20345|http://rdaregistry.info/Elements/e/P20463|http://rdaregistry.info/Elements/e/P20522
court reporter|e|http://rdaregistry.info/Elements/e/P20352|http://rdaregistry.info/Elements/e/P20470|http://rdaregistry.info/Elements/e/P20529
creator|e|http://rdaregistry.info/Elements/e/P20389|http://rdaregistry.info/Elements/e/P20507|http://rdaregistry.info/Elements/e/P20566
dancer|e|http://rdaregistry.info/Elements/e/P20371|http://rdaregistry.info/Elements/e/P20489|http://rdaregistry.info/Elements/e/P20548
DJ|e|http://rdaregistry.info/Elements/e/P20349|http://rdaregistry.info/Elements/e/P20467|http://rdaregistry.info/Elements/e/P20526
draftsman|e|http://rdaregistry.info/Elements/e/P20339|http://rdaregistry.info/Elements/e/P20457|http://rdaregistry.info/Elements/e/P20516
dubbing director|e|http://rdaregistry.info/Elements/e/P20393|http://rdaregistry.info/Elements/e/P20511|http://rdaregistry.info/Elements/e/P20570
editor|e|http://rdaregistry.info/Elements/e/P20338|http://rdaregistry.info/Elements/e/P20456|http://rdaregistry.info/Elements/e/P20515
editor of moving image work|e|http://rdaregistry.info/Elements/e/P20390|http://rdaregistry.info/Elements/e/P20508|http://rdaregistry.info/Elements/e/P20567
host|e|http://rdaregistry.info/Elements/e/P20372|http://rdaregistry.info/Elements/e/P20490|http://rdaregistry.info/Elements/e/P20549
instructor|e|http://rdaregistry.info/Elements/e/P20381|http://rdaregistry.info/Elements/e/P20499|http://rdaregistry.info/Elements/e/P20558
